Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets",,Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets"
Tata Power,,,,"1,708.58",,,"24,449.55",,,,,,,,,
Glenmark,,,,"1,622.11",969.98,15.38,,,,,,,,,,
M&M Financial,,,,"1,557.06","1,090.12",12.50,"63,216.77",,,,,,,,,
L&T Infotech,,,,"1,475.10","5,128.70",57.58,,,,,,,,,,
Sun TV Network,,,,"1,394.86",,,,,,,,,,,,
SJVN,,,,"1,364.29",,,,,,,,,,,,
SBI Life Insura,,,,"1,326.80",,,,,,,,,,,,
Oracle Fin Serv,,,,"1,282.47","1,189.61",32.17,,,,,,,,,,
GFL,,,,"1,277.31",,,,,,,,,,,,
HDFC Life,,,,"1,276.79",,,,,,,,,,,,
Dabur India,,,,"1,264.29",,,,,,,,,,,,
Bandhan Bank,,,,"1,216.37","1,008.69",15.18,"48,525.08",,,,,,,,,
Container Corp,,,,"1,215.41",,,,,,,,,,,,
Cholamandalam,,,,"1,186.15",,,"56,358.57",,,,,,,,,
HUDCO,,,,"1,180.15",,,"69,942.85",,,,,,,,,
ICICI Prudentia,,,,"1,140.65",,,,,,,,,,,,
Marico,,,,"1,132.00",,,,,,,,,,,,
Sundaram Fin,,,,"1,126.31",,,"29,779.66",,,,,,,,,
Britannia,,,,"1,122.20",,,,,,,,,,,,
PNB Housing Fin,,,,"1,081.38",,,"78,540.03",,,,,,,,,
Bharat Forge,,,,"1,071.28",,,,,,,,,,,,
ICICI Lombard,,,,"1,049.26",,,,,,,,,,,,
Shriram City,,,,988.88,,,"28,815.55",,,,,,,,,
GlaxoSmith Con,,,,982.80,,,,,,,,,,,,
Quess Corp,,,,,"4,560.07",81.24,,,,,,,,,,
Mindtree,,,,,"4,421.10",62.97,,,,,,,,,,
TeamLease Ser.,,,,,"3,937.36",95.28,,,,,,,,,,
L&T Technology,,,,,"2,905.70",61.67,,,,,,,,,,
MTNL,,,,,"2,272.03",114.30,,,,,,,,,,
SIS,,,,,"2,200.79",87.91,,,,,,,,,,
Bank of Mah,,,,,"1,794.17",16.54,"136,141.96",,,,,,,,,
JK Bank,,,,,"1,646.18",21.45,"88,589.37",,,,,,,,,
StanChart PLC,,,,,"1,520.34",15.81,"89,780.61",,,,,,,,,
MphasiS,,,,,"1,441.14",41.97,,,,,,,,,,
Hinduja Global,,,,,"1,388.26",63.21,,,,,,,,,,
Apollo Hospital,,,,,"1,295.09",15.53,,,,,,,,,,
NIIT Tech,,,,,"1,214.60",60.75,,,,,,,,,,
Motherson Sumi,,,,,"1,178.50",15.54,,,,,,,,,,
Punjab & Sind,,,,,"1,175.81",13.74,"94,569.81",,,,,,,,,
Hexaware Tech,,,,,"1,143.51",53.41,,,,,,,,,,
SpiceJet,,,,,"1,057.01",11.60,,,,,,,,,,
Alkem Lab,,,,,960.09,16.80,,,,,,,,,,
Persistent,,,,,949.12,48.43,,,,,,,,,,
CESC,,,,,926.03,11.94,,,,,,,,,,
Tata Comm,,,,,921.25,17.09,,,,,,,,,,
South Ind Bk,,,,,,,"80,864.96",,,,,,,,,
Karnataka Bank,,,,,,,"70,305.25",,,,,,,,,
RBL Bank,,,,,,,"68,966.06",,,,,,,,,
Karur Vysya,,,,,,,"62,561.37",,,,,,,,,
City Union Bank,,,,,,,"39,146.30",,,,,,,,,
DCB Bank,,,,,,,"30,420.16",,,,,,,,,
Piramal Enter,,,,,,,"29,638.23",,,,,,,,,
AU Small Financ,,,,,,,"29,003.32",,,,,,,,,
Lakshmi Vilas,,,,,,,"28,050.49",,,,,,,,,
Adani Power,,,,,,,"26,621.19",,,,,,,,,
Rel Capital,,,,,,,"26,566.00",,,,,,,,,
Videocon Ind,,,,,,,"25,666.17",,,,,,,,,
New India Assur,,,,,,,"23,462.83",,,,,,,,,
Embassy Office,,,,,,,"22,894.48",,,,,,,,,
IFCI,,,,,,,"19,957.98",,,,,,,,,
Reliance Power,,,,,,,"18,961.45",,,,,,,,,
Can Fin Homes,,,,,,,"18,451.62",,,,,,,,,
Reliance Home F,,,,,,,"16,774.45",,,,,,,,,
Jaiprakash Pow,,,,,,,"16,680.85",,,,,,,,,
Manappuram Fin,,,,,,,"16,348.19",,,,,,,,,
